stats: component=ResourceConsumption, ts=59183.726, cpu=0.0, cpu_max=0.0, mem=115994624, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59183.838, cpu=99.4, cpu_max=71.4, mem=118611968, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59183.949, cpu=100.3, cpu_max=57.1, mem=140541952, recv_bandwidth=0, sent_bandwidth=824
stats: component=ResourceConsumption, ts=59184.061, cpu=25.0, cpu_max=50.0, mem=161247232, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.173, cpu=100.3, cpu_max=85.7, mem=175390720, recv_bandwidth=828, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.284, cpu=28.4, cpu_max=57.1, mem=184463360, recv_bandwidth=824, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.395, cpu=71.7, cpu_max=28.6, mem=222531584, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.506, cpu=99.4, cpu_max=100.0, mem=226054144, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.617, cpu=100.3, cpu_max=100.0, mem=224292864, recv_bandwidth=35938, sent_bandwidth=9991
stats: component=ResourceConsumption, ts=59184.728, cpu=129.0, cpu_max=42.9, mem=311336960, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.844, cpu=175.0, cpu_max=62.5, mem=360501248, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.958, cpu=14.2, cpu_max=37.5, mem=360501248, recv_bandwidth=70806, sent_bandwidth=20506
stats: component=ResourceConsumption, ts=59185.070, cpu=28.7, cpu_max=14.3, mem=360501248, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.181, cpu=0.0, cpu_max=14.3, mem=360501248, recv_bandwidth=824, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.292, cpu=0.0, cpu_max=25.0, mem=360501248, recv_bandwidth=2135, sent_bandwidth=486
stats: component=ResourceConsumption, ts=59185.403, cpu=0.0, cpu_max=14.3, mem=360501248, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.514, cpu=12.5, cpu_max=37.5, mem=360501248, recv_bandwidth=0, sent_bandwidth=0
